"","code","name","management","admin.female.total","admin.total","fulltime.female.total","fulltime.total","part.female.total","part.total","admin.female.ratio","fulltime.female.ratio","part.female.ratio"
"21461",30127,"Indira Gandhi Institute of Technology (IGIT), Sarang","State Government",0,1,20,86,51,115,0,0.232558139534884,0.443478260869565
"21464",30130,"Kushagra Institute of Information and Management.Sciences (KIIMS), Bhubaneswar","Private Un-Aided",0,2,5,31,0,3,0,0.161290322580645,0
"21468",30134,"Indira Gandhi Institute of Pharmaceutical Sciences (IGIPS), Bhubaneswar","Private Un-Aided",0,1,1,33,0,8,0,0.0303030303030303,0
"21476",30142,"Biju Patnaik Institute of Information Technology and Management, (BIITM), Bhubaneswar","Private Un-Aided",0,1,3,25,0,1,0,0.12,0
"21477",30143,"Sudhananda School of Management and Computer Science (SSMCS), Bhubaneswar","Private Un-Aided",0,1,4,7,0,2,0,0.571428571428571,0
"21488",30154,"Gopal Krishna College of Engineering and Technology (GKCET), Jeypore","Private Un-Aided",0,1,4,29,0,10,0,0.137931034482759,0
"21491",30157,"NM Institute of Engineering and Technology (NMIET), Bhubaneswar","Local Body",0,2,18,133,16,33,0,0.135338345864662,0.484848484848485
"21493",30159,"Krupajal Management Studies (KMS), Bhubaneswar (Formerly : AMS, Bhubaneswar)","Private Un-Aided",0,1,3,9,2,5,0,0.333333333333333,0.4
"21505",30172,"Orissa Engineering College (OEC), Bhubaneswar","Private Un-Aided",0,1,28,92,8,53,0,0.304347826086957,0.150943396226415
"21507",30174,"SUBAS Institute of Technology (SIT), Barang, Bhubaneswar","Private Aided",0,1,14,99,2,23,0,0.141414141414141,0.0869565217391304
"21509",30176,"Krupajal Computer Academy (KCA), Bhubaneswar (Formerly : OCA, KEC, BBSR)","Private Un-Aided",0,1,4,15,0,1,0,0.266666666666667,0
"21511",30178,"The Techno School (TTS), Bhubaneswar","Private Un-Aided",0,2,66,160,5,31,0,0.4125,0.161290322580645
"21522",30190,"Veterinary College,Bangalore","University",0,1,14,56,2,9,0,0.25,0.222222222222222
"21523",30191,"Veterinary College, Shimoga","University",0,1,5,41,0,13,0,0.121951219512195,0
"21528",30200,"Govt.Degree College for Men, Kadapa","State Government",0,1,8,60,6,21,0,0.133333333333333,0.285714285714286
"21553",30228,"Govt.Degree College, Jammalamadugu","State Government",0,1,1,9,1,4,0,0.111111111111111,0.25
"21560",30239,"Govt.Degree College, Rly.Koduru","State Government",0,2,0,7,1,9,0,0,0.111111111111111
"21568",30250,"Govt. Degree College, Rajampet","State Government",0,1,2,13,2,11,0,0.153846153846154,0.181818181818182
"21569",30251,"Govt. Degree College, Porumamilla.","State Government",0,1,1,10,2,11,0,0.1,0.181818181818182
"21585",30270,"Govt. Degree College, Rayachoti","State Government",0,1,2,14,3,8,0,0.142857142857143,0.375
"21589",30274,"Govt. Degree College for men Kadapa (PG)","State Government",0,1,2,14,2,12,0,0.142857142857143,0.166666666666667
"21590",30275,"SBVR College of Education, Badvel","Private Un-Aided",0,1,4,29,1,2,0,0.137931034482759,0.5
"21592",30277,"Shri P.Basireddy College of Law","Private Un-Aided",0,1,2,4,0,6,0,0.5,0
"21595",30280,"SKSC Degree College","Private Aided",0,1,4,33,2,15,0,0.121212121212121,0.133333333333333
"21596",30283,"SCNR Govt.Degree College","State Government",0,1,2,17,1,4,0,0.117647058823529,0.25
"21602",30289,"SBSYM Degree College","Private Aided",0,1,0,8,2,12,0,0,0.166666666666667
"21612",30303,"DAW Degree College","Private Aided",1,1,0,1,2,11,1,0,0.181818181818182
"21629",30321,"KIMS College of B.Sc Nursing, Hyderabad","Private Un-Aided",1,1,6,6,16,16,1,1,1
"21632",30325,"Varma College of Nursing, Tirupati","Private Un-Aided",1,1,7,7,7,7,1,1,1
"21633",30328,"Aragonda Apollo College of Nursing, Aragonda","Private Un-Aided",2,2,15,16,14,14,1,0.9375,1
"21634",30329,"Bless College of Nursing, Tirupati","Private Un-Aided",1,1,10,10,13,13,1,1,1
"21635",30330,"JMJ College of Nursing, Hyderabad","Private Un-Aided",1,1,6,6,18,18,1,1,1
"21636",30331,"MNR Dental College, Sangareddy","Private Un-Aided",1,1,13,42,22,26,1,0.30952380952381,0.846153846153846
"21638",30336,"Geetanjali College of Nursing, Kadapa","Private Un-Aided",0,1,6,6,14,14,0,1,1
"21640",30339,"Yashoda College of Nursing, Hyderabad","Private Un-Aided",1,1,16,16,38,38,1,1,1
"21641",30340,"Sree Vidyanikethan College of Nursing, Tirupati","Private Un-Aided",1,1,8,8,17,26,1,1,0.653846153846154
"21642",30342,"Mamata College of Nursing, Khammam","Private Aided",1,1,17,20,38,41,1,0.85,0.926829268292683
"21643",30344,"St. Anns College of Nursing, Guntur","Private Un-Aided",1,1,6,6,25,25,1,1,1
"21644",30349,"Aluri College of Nursing, Ongole","Private Un-Aided",1,1,5,5,17,17,1,1,1
"21645",30350,"Sri Chaitanya College of Nursing, Tirupati","Private Un-Aided",1,1,9,9,11,11,1,1,1
"21646",30351,"PDS Institute of Physiotherapy, Hyderabad","Private Un-Aided",0,2,6,23,7,10,0,0.260869565217391,0.7
"21651",30359,"Swatantra College of Nursing, Rajahmundry","Private Un-Aided",1,1,17,17,45,45,1,1,1
"21654",30367,"Vijay Marie College of Nursing, Hyderabad","Private Un-Aided",1,1,12,12,15,15,1,1,1
"21656",30370,"Sri Sai College of Dental Surgery, Vikarabad","Private Un-Aided",0,1,54,124,1,1,0,0.435483870967742,1
"21660",30375,"Mother Vaanini College of Nursing, Tadepalligudem","Private Un-Aided",2,2,6,6,18,18,1,1,1
"21663",30381,"St. Joseph College of Nursing, Eluru","Private Un-Aided",1,1,7,9,9,12,1,0.777777777777778,0.75
"21665",30385,"VIMS Mother Theresa College of Nursing, Vijayawada","Private Un-Aided",1,2,7,7,22,22,0.5,1,1
"21666",30386,"Narayana College of (B.Sc MLT), Nellore","Local Body",0,1,4,8,1,8,0,0.5,0.125
"21668",30388,"St. Ann's College of Nursing, Vijayawada","Private Un-Aided",1,1,8,8,10,10,1,1,1
"21669",30390,"Apex College of Nursing, Hyderabad","Private Un-Aided",1,1,10,10,13,13,1,1,1
"21670",30392,"Krishna Institute of Medical Sciences College of Physiotherapy, Secunderabad","Private Un-Aided",0,2,6,32,4,12,0,0.1875,0.333333333333333
"21672",30394,"PES Institute of Medical Sciences, Kuppam","Private Aided",0,1,37,161,15,37,0,0.229813664596273,0.405405405405405
"21673",30396,"Chandana College of Nursing, Suryapet","Private Un-Aided",1,1,6,6,17,17,1,1,1
"21674",30397,"K.K.C. College of B.Sc Nursing, Puttur","Private Un-Aided",1,1,7,8,13,18,1,0.875,0.722222222222222
"21675",30398,"Dileef College of Nursing, Nellore","Private Un-Aided",1,1,6,6,18,18,1,1,1
"21677",30402,"Sigma College of Nursing, Hyderabad","Private Un-Aided",1,1,7,7,12,14,1,1,0.857142857142857
"21678",30404,"Kugler College of Nursing, Guntur","Private Un-Aided",1,1,6,6,19,19,1,1,1
"21679",30405,"Manisha College of Nursing, Visakhapatnam","University",0,1,16,16,20,20,0,1,1
"21682",30409,"Government Medical College, Anantapur","State Government",1,1,40,111,24,58,1,0.36036036036036,0.413793103448276
"21683",30410,"Vijaya College of Nursing, Nellore","Private Un-Aided",2,2,3,5,22,22,1,0.6,1
"21685",30415,"Narayana College of Physiotheraphy, Nellore","Local Body",0,1,2,11,9,13,0,0.181818181818182,0.692307692307692
"21686",30417,"Chaitanya College of B.Sc Nursing, Ongole","Private Un-Aided",1,1,6,6,13,13,1,1,1
"21687",30418,"Apollo College of Nursing, Hyderabad","Private Un-Aided",1,1,19,19,17,17,1,1,1
"21690",30424,"Care Nampally College of Nursing, Hyderabad","Private Un-Aided",1,1,7,8,18,18,1,0.875,1
"21691",30426,"SIMS College of Nursing, Guntur","Private Un-Aided",2,2,9,11,24,27,1,0.818181818181818,0.888888888888889
"21694",30433,"Sri Krishna Chaitanya College of Nursing, Madanapalle","Private Un-Aided",1,1,7,8,14,18,1,0.875,0.777777777777778
"21695",30434,"Princess Duru Shehvar College of Nursing, Hyderabad","Private Un-Aided",2,2,21,21,9,16,1,1,0.5625
"21696",30435,"NRI College of Nursing, Chinakakani","Private Un-Aided",1,1,16,18,45,46,1,0.888888888888889,0.978260869565217
"21697",30437,"Govt. Dental College, Vijayawada","State Government",0,1,7,16,3,3,0,0.4375,1
"21699",30441,"Gowtami College of Nursing, Hyderabad","Private Un-Aided",1,1,11,11,12,12,1,1,1
"21700",30444,"The Lakshmi Venkatesh T.G Physiotheraphy College, Kurnool","Private Un-Aided",0,3,2,16,12,28,0,0.125,0.428571428571429
"21701",30446,"Maharaja Inst. of Medical Sciences, Vizianagaram","Private Un-Aided",0,1,0,142,0,152,0,0,0
"21702",30452,"St. Joseph's College of Nursing, Dargametta","Private Aided",1,1,6,7,14,14,1,0.857142857142857,1
"21704",30454,"Shanthi College of Nursing, Hyderabad","Private Un-Aided",1,1,6,6,17,17,1,1,1
"21706",30462,"Venkata Padmavathi College of Physiotherapy, Tirupati","Private Un-Aided",1,2,5,11,5,27,0.5,0.454545454545455,0.185185185185185
"21707",30463,"Care Waltair College of Nursing, Visakhapatnam","Private Un-Aided",1,1,10,10,22,30,1,1,0.733333333333333
"21709",30467,"Sri Venkata Sai College of Nursing, Mahabubnagar","Private Aided",1,1,28,29,30,30,1,0.96551724137931,1
"21710",30468,"Mamata College of Nursing, Tenali","Private Un-Aided",1,1,6,6,17,17,1,1,1
"21711",30469,"Mother Theresa College of B.Sc Nursing, Hyderabad","Private Aided",4,4,14,14,28,28,1,1,1
"21713",30473,"GEMS Medical College, Srikakulam","Private Un-Aided",1,1,29,149,11,69,1,0.194630872483221,0.159420289855072
"21714",30475,"Lenora Institute of Dental Sciences, Rajahmundry","Private Un-Aided",0,1,33,104,5,8,0,0.317307692307692,0.625
"21715",30476,"Rayalaseema College of Nursing, Kurnool","Private Un-Aided",1,1,6,6,9,9,1,1,1
"21716",30477,"ASRAM College of Nursing, Eluru","Private Un-Aided",1,1,10,12,31,42,1,0.833333333333333,0.738095238095238
"21717",30478,"Smt. Vijaya Luke College of Nursing, Visakhapatnam","Private Un-Aided",2,2,6,6,11,18,1,1,0.611111111111111
"21719",30483,"Krishnaveni College of Nursing, Guntur","Private Aided",4,4,4,4,8,10,1,1,0.8
"21721",30492,"Kamineni College of Nursing, Hyderabad","Private Un-Aided",1,1,16,16,17,17,1,1,1
"21723",30494,"Sri Sai College of Nursing, Anantapur","Private Un-Aided",1,1,10,10,15,22,1,1,0.681818181818182
"21724",30496,"Sri Sai saran College of Nursing, Rajahmundry","Private Un-Aided",1,1,6,6,19,19,1,1,1
"21726",30498,"Pragathi College of Physiotherapy, Nizamabad","Private Un-Aided",0,2,6,19,1,5,0,0.315789473684211,0.2
"21728",30503,"Kavuri Subba Rao College of Nursing, Guntur","Private Un-Aided",1,1,15,15,10,10,1,1,1
"21730",30508,"Kalanjali College of Nursing, Hyderabad","Private Un-Aided",1,1,6,6,12,12,1,1,1
"21732",30510,"Balaji College of Nursing, Anantapur","Private Un-Aided",1,1,5,6,14,18,1,0.833333333333333,0.777777777777778
"21735",30517,"Kamineni Inst. of Dental Sciences, Narketpally","Private Un-Aided",0,1,19,60,10,13,0,0.316666666666667,0.769230769230769
"21736",30518,"P.N.C. & K.R College of Nursing, Guntur","Private Un-Aided",0,1,10,13,17,24,0,0.769230769230769,0.708333333333333
"21739",30524,"GSL Medical College, Rajahmundry","Private Un-Aided",0,1,54,218,116,259,0,0.247706422018349,0.447876447876448
"21740",30525,"Venkata Padmavthi College of Medical Lab Technology, Tirupati","Private Un-Aided",0,1,6,12,2,5,0,0.5,0.4
"21741",30528,"Academy of Life Sciences (Nursing), Visakhapatnam","University",1,1,6,6,20,30,1,1,0.666666666666667
"21742",30529,"College of Life Sciences, Visakhapatnam","University",1,1,10,10,16,24,1,1,0.666666666666667
"21743",30532,"Eashwaribai Memorial College of Nursing, Secunderabad","Private Un-Aided",1,2,14,15,18,18,0.5,0.933333333333333,1
"21744",30533,"Nagarjuna College of Nursing, Kanuru","Private Un-Aided",1,1,10,10,9,12,1,1,0.75
"21745",30535,"Narayana College of Nursing, Nellore","Private Un-Aided",1,1,31,32,46,46,1,0.96875,1
"21747",30551,"Priyadarsini College of Nursing, Rajahmundry","Private Un-Aided",2,2,3,3,18,18,1,1,1
"21749",30554,"MIMS College of Nursing, Nellimarla","Private Un-Aided",1,1,6,6,29,29,1,1,1
"21750",30557,"Princess Durru Shehvar College of MLT, Hyderabad","Private Un-Aided",0,1,4,13,3,4,0,0.307692307692308,0.75
"21751",30559,"Sai College of Nursing, Rajahmundry","Private Un-Aided",0,1,10,10,12,12,0,1,1
"21752",30561,"Sri Venkateswara College of Nursing, Tirupati Road","Private Un-Aided",1,1,8,8,13,13,1,1,1
"21754",30566,"Sister Care College of Nursing, Guntur","Private Un-Aided",2,2,15,17,21,21,1,0.882352941176471,1
"21755",30567,"Kugler Memorial Physiotherapy Degree College, Guntur","Private Un-Aided",0,1,4,15,1,6,0,0.266666666666667,0.166666666666667
"21757",30571,"SAVE College of Nursing, Tirupati","Private Un-Aided",1,1,5,6,20,27,1,0.833333333333333,0.740740740740741
"21758",30576,"GSL College of Nursing, Rajahmundry","Private Un-Aided",1,1,14,14,28,28,1,1,1
"21759",30577,"R.R. Christian College of Nursing, Kurnool","Private Un-Aided",1,1,21,27,5,7,1,0.777777777777778,0.714285714285714
"21760",30578,"Crescent College of Nursing, Kadapa","Private Un-Aided",1,1,6,6,20,20,1,1,1
"21761",30580,"Jaya Shekara College of Nursing, Ongole","Private Un-Aided",1,1,5,5,10,15,1,1,0.666666666666667
"21763",30584,"Aluuri Seetharama Raju Academy of Medical Sceiences, Eluru","Private Un-Aided",0,1,72,270,47,126,0,0.266666666666667,0.373015873015873
"21764",30586,"Balaji College of Nursing, Tirupati","Private Un-Aided",1,1,6,6,27,27,1,1,1
"21765",30589,"Mother College of Nursing, Visakhapatnam","University",1,1,7,12,20,24,1,0.583333333333333,0.833333333333333
"21767",30592,"Dr. Gururaj Govt. Homoeo Medical College, Gudiwada","State Government",0,1,2,14,0,4,0,0.142857142857143,0
"21768",30597,"St. Joseph's College of Nursing, Guntur","Private Un-Aided",1,1,14,14,16,16,1,1,1
"21769",30600,"Indira Priyadarshini College of Nursing, Kadapa","Private Un-Aided",1,1,11,11,12,29,1,1,0.413793103448276
"21770",30601,"Sri Sarada College of Nursing, Kadapa","Private Un-Aided",1,1,6,6,16,16,1,1,1
"21771",30602,"J.D. College of Nursing, Kadapa","Private Un-Aided",1,1,3,3,14,14,1,1,1
"21773",30604,"Sri Venkatadri College of Nursing, Kadapa","Private Un-Aided",1,1,6,6,20,20,1,1,1
"21774",30607,"Seven Hills College of Nursing, Visakhapatnam","Private Un-Aided",2,2,5,5,27,27,1,1,1
"21775",30608,"Florence Nightingale Modern B.Sc Nursing Degree College For Women, Kadapa","Private Un-Aided",1,1,6,6,17,17,1,1,1
"21776",30609,"Vijaya Krishna College of Nursing, Visakhapatnam","Private Aided",1,1,9,9,20,20,1,1,1
"21778",30612,"Mandyam College of Nursing, Tirupati","Private Aided",0,1,0,6,7,10,0,0,0.7
"21779",30613,"Katuri College of Nursing, Guntur","Private Un-Aided",0,1,9,11,5,6,0,0.818181818181818,0.833333333333333
"21780",30614,"Sri Rama Educational Trust College of Physiotherapy, Vizianagaram","Private Un-Aided",0,1,8,24,6,14,0,0.333333333333333,0.428571428571429
"21784",30619,"MNR Medical College, Sanagareddy","Private Un-Aided",0,1,32,136,64,170,0,0.235294117647059,0.376470588235294
"21785",30622,"Medha Inst. of Nursing & Diagnostic Sceicnes, Hanmakonda","Private Un-Aided",1,1,6,6,6,12,1,1,0.5
"21786",30623,"AVM College of Physiotherapy, Kadapa","Private Un-Aided",0,1,1,4,0,6,0,0.25,0
"21788",30629,"Sri B.Ayyavaru Reddy Memorial College of Nursing, Kadapa","Private Un-Aided",1,1,6,6,12,20,1,1,0.6
"21789",30630,"Sri Vikas College of Nursing, Tirupati","Private Un-Aided",2,2,11,11,16,16,1,1,1
"21790",30633,"Adarsha College of Nursing, Anantapur","Private Un-Aided",1,1,5,6,12,18,1,0.833333333333333,0.666666666666667
"21792",30639,"Satyam College of Nursing, Rajahmundry","Private Un-Aided",1,1,23,23,2,2,1,1,1
"21793",30642,"Evangeline Booth College of Nursing, Ponnur","Private Un-Aided",1,1,6,7,17,24,1,0.857142857142857,0.708333333333333
"21794",30645,"Lalitha College of Nursing, Guntur","Local Body",1,1,8,8,16,16,1,1,1
"21795",30646,"Viswa Bharathi College of Nursing, Kurnool","Private Aided",1,1,9,9,20,20,1,1,1
"21796",30649,"Dr. Helen College of Nursing, Jammalamadugu","Private Un-Aided",1,1,4,6,15,16,1,0.666666666666667,0.9375
"21797",30650,"Lakshmi Venkatesh TG College of Nursing, Kurnool","Private Un-Aided",1,2,6,6,11,20,0.5,1,0.55
"21798",30651,"Narayana Yoga & Naturopathy Medical College, Nellore","Local Body",0,1,4,6,3,6,0,0.666666666666667,0.5
"21799",30655,"Govt. College of Nursing, Kadapa","State Government",1,1,10,10,4,4,1,1,1
"21801",30659,"Sree Narayana College of Nursing, Nellore","Private Un-Aided",1,1,14,15,33,39,1,0.933333333333333,0.846153846153846
"21802",30661,"Sri Vikasa Institute of Medical Sciences College of B.Sc MLT, Kadapa","Private Un-Aided",0,1,1,10,0,2,0,0.1,0
"21804",30667,"Sri P. Rami Reddy Memorial College of Physiotherapy, Kadapa","Private Un-Aided",0,1,7,16,5,12,0,0.4375,0.416666666666667
"21805",30671,"SVS Medical College, Mahabubnagar","Private Un-Aided",0,1,49,208,68,148,0,0.235576923076923,0.459459459459459
"21807",30675,"Katrina Moller College of Nursing, Arogyavaram","University",1,1,6,7,7,8,1,0.857142857142857,0.875
"21810",30678,"Thirumala College of Nursing, Armoor","Private Un-Aided",24,27,3,3,22,22,0.888888888888889,1,1
"21811",30680,"CKS Teja Institute of Dental Sciences & Research, Tirupati","Private Un-Aided",0,1,20,69,9,13,0,0.289855072463768,0.692307692307692
"21813",30687,"S.K. College of Nursing, Kakinada","Private Un-Aided",1,1,6,6,18,18,1,1,1
"21814",30689,"Kamineni Inst. of Medical Sciences, College of Nursing, Narketpally","Private Aided",1,1,17,17,31,31,1,1,1
"21815",30694,"Dr. Pinnemaneni Siddhartha Inst. of Medical Sciences & Research Foundation, Chinnaoutpalli","Private Un-Aided",0,1,63,223,122,208,0,0.282511210762332,0.586538461538462
"21816",30698,"Narayana Medical College, Nellore","Private Un-Aided",0,1,72,288,22,50,0,0.25,0.44
"21817",30699,"Govt. Dental College (RIMS), Kadapa","State Government",0,2,4,16,4,12,0,0.25,0.333333333333333
"21820",30705,"Sudha Rustagi College of Dental Sc. & Res. Kheri More, Faridabad","Private Un-Aided",0,1,45,84,3,6,0,0.535714285714286,0.5
"21826",30712,"Ved Nursing College, 98, Milestone, G.T.Road, Barauli, Panipat","Private Un-Aided",1,1,15,18,43,50,1,0.833333333333333,0.86
"21827",30713,"Prem Physiotherapy & Rehabilitation College, Panipat","Private Un-Aided",1,5,8,10,1,8,0.2,0.8,0.125
"21828",30714,"Maharaja Agrasen Medical College, Agroha (Hisar)","State Government",0,1,27,75,8,14,0,0.36,0.571428571428571
"21829",30717,"Swami Vivekanand Nursing College, Nr. Sec 18, Huda Jagadhari","Local Body",0,2,0,5,0,26,0,0,0
"21830",30718,"Swami Devi Dayal College of Nursing, Golpura, Panchkula","Private Un-Aided",1,1,8,10,16,16,1,0.8,1
"21834",30724,"PDM Dental College, Sarai Aurangabad, Bahadurgarh","Private Un-Aided",1,2,28,64,27,30,0.5,0.4375,0.9
"21835",30726,"Shaheed Udham Singh College of Nursing, Nr Govt. Girl School, Ratia, Fatehabad","Private Un-Aided",1,2,14,14,7,7,0.5,1,1
"21838",30730,"Maharaja Agrasen Nursing College ( Agroha)","Private Un-Aided",1,1,3,6,27,27,1,0.5,1
"21839",30732,"JN Kapoor, DAV Cent. Dental College, Model Town (YNR)","Private Un-Aided",0,1,37,59,17,24,0,0.627118644067797,0.708333333333333
"21845",30741,"Birender Singh Nursing College, Uchana ( Jind)","Private Un-Aided",1,2,4,5,17,17,0.5,0.8,1
"21846",30742,"KVM Nursing College, Ladhot Road, Rohtak","Private Un-Aided",1,1,5,5,17,17,1,1,1
"21849",30746,"International Institute of Pharmaceutical Sciences, Jhundpur, Sonipat","Private Un-Aided",1,1,8,9,0,4,1,0.888888888888889,0
"21851",30749,"Himalyan Institute of Nursing, VPO Kala Amb, Sadhaura Rd., Amb","Private Un-Aided",1,1,5,6,10,16,1,0.833333333333333,0.625
"21853",30751,"Shrbati College of Nursing, Gayushala Road, Mahandergarh","Private Un-Aided",1,1,2,5,5,8,1,0.4,0.625
"21855",30753,"Manav Rachna Dental College, Faridabad","Private Un-Aided",0,1,38,75,12,18,0,0.506666666666667,0.666666666666667
"21856",30754,"Shri Krishana Govt. Ayurvedic College, Kurukshetra","State Government",1,1,8,37,0,1,1,0.216216216216216,0
"21860",30760,"Kailash Institute of Health & Medical Science, Vill Chandikotla (PKL)","Private Un-Aided",1,1,7,7,47,47,1,1,1
"21862",30762,"Swami Devi Dayal Hospital & Dental College, Golpura(Panchkula)","Private Un-Aided",0,2,52,89,5,13,0,0.584269662921348,0.384615384615385
"21863",30764,"Lord Shiv College of Pharmacy, Sirsa","Private Un-Aided",0,1,11,21,1,2,0,0.523809523809524,0.5
"21865",30766,"College of Nursing, Pt. B.D.Sharma  , PGIMS, Rohtak","University",1,1,13,13,21,21,1,1,1
"21866",30767,"Pt. B.D.Sharma , PGIMS , Rohtak","State Government",0,2,110,277,8,10,0,0.397111913357401,0.8
"21867",30768,"College of Pharmacy, Pt. B.D.Sharma, PGIMS, Rohtak","University",0,2,4,12,10,16,0,0.333333333333333,0.625
"21870",30772,"Dr. Jai Parkash Sharma College of Nursing Yamunanagar","Private Aided",1,2,3,8,11,15,0.5,0.375,0.733333333333333
"21871",30773,"PDM College of Pharmacy, Sarai Aurangabad, Bahadurgarh","Private Un-Aided",1,1,19,32,1,3,1,0.59375,0.333333333333333
"21883",30795,"Govt. Degree College for Women, Kathua","State Government",0,1,5,10,17,22,0,0.5,0.772727272727273
"21885",30797,"Govt. Gandhi Memorial Science College","State Government",0,1,54,111,8,20,0,0.486486486486487,0.4
"21901",30818,"Goa Vidyaprasarak Mandals  Gopal Govind Poy Raiturcar College of Commerce and  Economics Farmagudi  Ponda","Local Body",0,1,20,30,8,14,0,0.666666666666667,0.571428571428571
"21902",30819,"Padre Conceicao College of Engineering  Agnel Ashram Verna","Private Un-Aided",0,1,25,37,27,42,0,0.675675675675676,0.642857142857143
"21903",30820,"Smt.Parvatibai Chowgule Cultural Foundations College of Arts & Science  Fatorda","Private Aided",0,1,31,60,29,42,0,0.516666666666667,0.69047619047619
"21904",30821,"Govt. of Goa College of Engineering, Goa,  Farmagudi, Ponda","State Government",0,1,39,98,15,33,0,0.397959183673469,0.454545454545455
"21907",30824,"Goa College of Home Science Campal Panaji","State Government",0,1,6,6,7,7,0,1,1
"21908",30825,"Devi Sharvani Education Societys V.M. Salgaocar College of Law Miramar Panaji","Private Aided",0,2,4,8,25,28,0,0.5,0.892857142857143
"21909",30828,"Dempo Charities Trusts S.S. Dempo College of Commerce & Economics  Altinho","Private Aided",1,1,18,24,48,70,1,0.75,0.685714285714286
"21911",30834,"Saraswat Vidyalayas Sridora Caculo College of Commerce & Management Studies  Mapusa","Local Body",0,1,9,12,12,19,0,0.75,0.631578947368421
"21913",30836,"Institute of Nursing Education Bambolim","State Government",1,1,5,6,20,21,1,0.833333333333333,0.952380952380952
"21914",30838,"Vidya Vikas Mandals Govind Ramnath Kare College of Law  Margao","Private Aided",0,1,2,5,10,14,0,0.4,0.714285714285714
"21915",30842,"Dempo Charities Trust Dhempe College of Arts & Science Miramar","State Government",1,1,25,38,31,43,1,0.657894736842105,0.720930232558139
"21916",30843,"Dnyanprassarak Mandals College of Arts Sou. Sheela Premanand Vaidya College of  Science & VNS Bandekar College of Commerce Assagao","Private Aided",0,1,18,51,14,18,0,0.352941176470588,0.777777777777778
"21917",30844,"Victor Medical & Research Foundation  College of Nursing C/o Apollo Victor Hospital Malbhat Margao","Private Un-Aided",1,1,2,2,5,6,1,1,0.833333333333333
"21918",30845,"Govt.College of Arts Science & Commerce Quepem","State Government",0,1,24,41,39,48,0,0.585365853658537,0.8125
"21919",30846,"Vidya Vikas Mandals Shree Damodar College of Commerce & Economics Margao","Private Aided",1,1,13,20,27,33,1,0.65,0.818181818181818
"21923",30850,"Nirmala Institute of Education Altinho Panaji","Private Aided",0,1,17,20,4,5,0,0.85,0.8
"21924",30851,"Goa Medical  College Bambolim","State Government",0,1,66,161,25,55,0,0.409937888198758,0.454545454545455
"21925",30852,"Rosary College of Commerce & Arts  Navelim","Private Aided",0,1,21,33,34,41,0,0.636363636363636,0.829268292682927
"21926",30855,"Institute of Psychiatry & Human Behaviour Bambolim","State Government",0,1,4,7,1,1,0,0.571428571428571,1
"21930",30862,"Govt. College of Arts & Commerce Virnoda Pernem","State Government",0,1,5,14,12,17,0,0.357142857142857,0.705882352941177
"21931",30863,"Fr. Agnel College of Arts & Commerce  Pilar","Private Aided",0,1,12,19,17,23,0,0.631578947368421,0.739130434782609
"21932",30864,"Murgaon Education Societys College of Arts & Commerce Zuarinagar","Private Aided",0,1,21,35,42,76,0,0.6,0.552631578947368
"21933",30865,"Dnyan Prabodhini Mandals Shree Mallikarjun College of Arts & Commerce Delem Canacona","Private Aided",0,1,9,15,14,17,0,0.6,0.823529411764706
"21934",30867,"Cuncolim Educational Societys College of Arts & Commerce  Cuncolim","Private Aided",1,1,10,17,14,16,1,0.588235294117647,0.875
"21937",30872,"Vrundavan Institute of Nursing Education & College of Nursing Colvale Bardez","Private Un-Aided",1,1,2,2,16,19,1,1,0.842105263157895
"21938",30873,"Zantye Brothers Educational Foundations Narayan Zantye College of Commerce  Bicholim","Private Aided",0,1,8,14,10,14,0,0.571428571428571,0.714285714285714
"21940",30875,"St Xaviers College of Arts Science & Commerce  Mapusa","Private Aided",0,1,57,92,17,22,0,0.619565217391304,0.772727272727273
"21957",30907,"Smt. Seeta Devi Chunni Lal Baradia Government Girls College, Pipar City","State Government",0,1,2,3,0,2,0,0.666666666666667,0
"21964",30916,"Government Degree College for Men, Anantapur","State Government",0,1,27,110,17,35,0,0.245454545454545,0.485714285714286
"21976",30929,"Government Degree College, Uravakonda","State Government",0,1,2,5,2,16,0,0.4,0.125
"21978",30933,"K.T.S. Government Degree College, Rayadurg","State Government",1,1,0,2,2,10,1,0,0.2
"21983",30938,"K.S.N. Government Degree College for Women, Anantapur","State Government",1,1,9,21,9,14,1,0.428571428571429,0.642857142857143
"21984",30939,"Government Degree College, Tadipatri","State Government",0,1,2,7,1,7,0,0.285714285714286,0.142857142857143
"21999",30956,"S.K.P. Government Degree College, Guntakal","State Government",0,1,2,18,3,30,0,0.111111111111111,0.1
"22003",30961,"P.S. Government Degree College, Penukonda","State Government",0,1,1,12,5,16,0,0.0833333333333333,0.3125
"22005",30963,"K.H. Government Degree College, Dharmavaram","State Government",0,1,0,15,0,2,0,0,0
"22011",30969,"S.Y.T.R. Government Degree College, Madakasira","State Government",0,1,0,7,1,18,0,0,0.0555555555555556
"22030",30989,"S.T.S.N. Government Degree College, Kadiri","State Government",0,1,16,27,1,14,0,0.592592592592593,0.0714285714285714
"22037",30996,"S.D.G.S. Degree College, Hindupur","Private Aided",0,1,4,11,12,28,0,0.363636363636364,0.428571428571429
"22044",31005,"S.V.G.M. Government Degree College, Kalyandurg","State Government",1,1,7,17,1,8,1,0.411764705882353,0.125
