"Application
Number",State,Region,inst,Program,Shift,P / F Time,"Level of
Course",Course,"Approved
Intake 15-
16",NRI Approved,PIO Approved,University Name
1-2451590091,Tamil Nadu,Southern,SRI KRISHNA POLYTECHNIC COLLEGE,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,MECHANICAL ENGINEERING,180,NA,NA,Directorate of Technical Education Tamilnadu
1-2451590478,Tamil Nadu,Southern,NANJAPPA POLYTECHNIC COLLEGE,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,CIVIL ENGINEERING,60,NA,NA,Directorate of Technical Education Tamilnadu
1-2451590478,Tamil Nadu,Southern,NANJAPPA POLYTECHNIC COLLEGE,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,COMPUTER ENGINEERING,60,NA,NA,Directorate of Technical Education Tamilnadu
1-2451590478,Tamil Nadu,Southern,NANJAPPA POLYTECHNIC COLLEGE,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,ELECTRONICS & COMMUNICATION ENGG,60,NA,NA,Directorate of Technical Education Tamilnadu
1-2451590478,Tamil Nadu,Southern,NANJAPPA POLYTECHNIC COLLEGE,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,MECHANICAL ENGINEERING,120,NA,NA,Directorate of Technical Education Tamilnadu
1-2451590478,Tamil Nadu,Southern,NANJAPPA POLYTECHNIC COLLEGE,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,TEXTILE TECHNOLOGY (SANDWICH),60,NA,NA,Directorate of Technical Education Tamilnadu
1-2451590829,Tamil Nadu,Southern,RVS COLLEGE OF ENGINEERING AND TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,POST GRADUATE,COMMUNICATION SYSTEMS,14,NA,NA,Anna University Chennai
1-2451590829,Tamil Nadu,Southern,RVS COLLEGE OF ENGINEERING AND TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,POST GRADUATE,COMPUTER SCIENCE AND ENGINEERING,18,NA,NA,Anna University Chennai
1-2451590829,Tamil Nadu,Southern,RVS COLLEGE OF ENGINEERING AND TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,POST GRADUATE,ELECTRICAL MACHINES AND DRIVES,18,NA,NA,Anna University Chennai
1-2451590829,Tamil Nadu,Southern,RVS COLLEGE OF ENGINEERING AND TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,POST GRADUATE,EMBEDDED SYSTEMS,18,NA,NA,Anna University Chennai
1-2451590829,Tamil Nadu,Southern,RVS COLLEGE OF ENGINEERING AND TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,POST GRADUATE,THERMAL ENGINEERING,18,NA,NA,Anna University Chennai
1-2451590829,Tamil Nadu,Southern,RVS COLLEGE OF ENGINEERING AND TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,45,NA,NA,Anna University Chennai
1-2451590829,Tamil Nadu,Southern,RVS COLLEGE OF ENGINEERING AND TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,90,NA,NA,Anna University Chennai
1-2451590829,Tamil Nadu,Southern,RVS COLLEGE OF ENGINEERING AND TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,ELECTRONICS AND COMMUNICATIONS ENGINEERING,90,NA,NA,Anna University Chennai
1-2451590829,Tamil Nadu,Southern,RVS COLLEGE OF ENGINEERING AND TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,MECHANICAL ENGINEERING,90,NA,NA,Anna University Chennai
1-2451590829,Tamil Nadu,Southern,RVS COLLEGE OF ENGINEERING AND TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,PETROCHEMICAL ENGINEERING,45,NA,NA,Anna University Chennai
1-2451592513,Tamil Nadu,Southern,SRI KRISHNA COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,AUTOMOBILE ENGINEERING,60,NA,NA,Anna University Chennai
1-2451592513,Tamil Nadu,Southern,SRI KRISHNA COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,CIVIL ENGINEERING,60,NA,NA,Anna University Chennai
1-2451592513,Tamil Nadu,Southern,SRI KRISHNA COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,60,NA,NA,Anna University Chennai
1-2451592513,Tamil Nadu,Southern,SRI KRISHNA COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,60,NA,NA,Anna University Chennai
1-2451592513,Tamil Nadu,Southern,SRI KRISHNA COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,ELECTRONICS AND COMMUNICATIONS ENGINEERING,60,NA,NA,Anna University Chennai
1-2451592513,Tamil Nadu,Southern,SRI KRISHNA COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,MECHANICAL ENGINEERING,120,NA,NA,Anna University Chennai
1-2451592948,Tamil Nadu,Southern,PPG INSTITUTE OF TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,POST GRADUATE,COMPUTER SCIENCE AND ENGINEERING,18,NA,NA,Anna University Chennai
1-2451592948,Tamil Nadu,Southern,PPG INSTITUTE OF TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,POST GRADUATE,ENGINEERING DESIGN,24,NA,NA,Anna University Chennai
1-2451592948,Tamil Nadu,Southern,PPG INSTITUTE OF TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,POST GRADUATE,POWER ELECTRONICS AND DRIVES,24,NA,NA,Anna University Chennai
1-2451592948,Tamil Nadu,Southern,PPG INSTITUTE OF TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,POST GRADUATE,VLSI,18,NA,NA,Anna University Chennai
1-2451592948,Tamil Nadu,Southern,PPG INSTITUTE OF TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,CIVIL ENGINEERING,120,NA,NA,Anna University Chennai
1-2451592948,Tamil Nadu,Southern,PPG INSTITUTE OF TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,60,NA,NA,Anna University Chennai
1-2451592948,Tamil Nadu,Southern,PPG INSTITUTE OF TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,60,NA,NA,Anna University Chennai
1-2451592948,Tamil Nadu,Southern,PPG INSTITUTE OF TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,ELECTRONICS AND COMMUNICATIONS ENGINEERING,120,NA,NA,Anna University Chennai
1-2451592948,Tamil Nadu,Southern,PPG INSTITUTE OF TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,MECHANICAL ENGINEERING,120,NA,NA,Anna University Chennai
1-2451592948,Tamil Nadu,Southern,PPG INSTITUTE OF TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,MECHATRONICS,60,NA,NA,Anna University Chennai
1-2451592948,Tamil Nadu,Southern,PPG INSTITUTE OF TECHNOLOGY,ENGINEERING AND TECHNOLOGY,2nd Shift,FULL TIME,UNDER GRADUATE,MECHANICAL ENGINEERING,60,NA,NA,Anna University Chennai
1-2451593686,Tamil Nadu,Southern,ALAGAPPA POLYTECHNIC COLLEGE KARAIKUDI,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,CIVIL ENGINEERING,60,NA,NA,Directorate of Technical Education Tamilnadu
1-2451593686,Tamil Nadu,Southern,ALAGAPPA POLYTECHNIC COLLEGE KARAIKUDI,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,COMPUTER SCIENCE AND ENGINEERING,60,NA,NA,Directorate of Technical Education Tamilnadu
1-2451593686,Tamil Nadu,Southern,ALAGAPPA POLYTECHNIC COLLEGE KARAIKUDI,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,ELECTRICAL AND ELECTRONICS ENGINEERING,60,NA,NA,Directorate of Technical Education Tamilnadu
1-2451593686,Tamil Nadu,Southern,ALAGAPPA POLYTECHNIC COLLEGE KARAIKUDI,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,ELECTRONICS & COMMUNICATION ENGG,60,NA,NA,Directorate of Technical Education Tamilnadu
1-2451593686,Tamil Nadu,Southern,ALAGAPPA POLYTECHNIC COLLEGE KARAIKUDI,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,MECHANICAL ENGINEERING,60,NA,NA,Directorate of Technical Education Tamilnadu
1-2451593686,Tamil Nadu,Southern,ALAGAPPA POLYTECHNIC COLLEGE KARAIKUDI,ENGINEERING AND TECHNOLOGY,1st Shift,PART TIME,DIPLOMA,CIVIL ENGINEERING,60,NA,NA,Directorate of Technical Education Tamilnadu
1-2451593686,Tamil Nadu,Southern,ALAGAPPA POLYTECHNIC COLLEGE KARAIKUDI,ENGINEERING AND TECHNOLOGY,1st Shift,PART TIME,DIPLOMA,ELECTRICAL AND ELECTRONICS ENGINEERING,60,NA,NA,Directorate of Technical Education Tamilnadu
1-2451593686,Tamil Nadu,Southern,ALAGAPPA POLYTECHNIC COLLEGE KARAIKUDI,ENGINEERING AND TECHNOLOGY,1st Shift,PART TIME,DIPLOMA,MECHANICAL ENGINEERING,60,NA,NA,Directorate of Technical Education Tamilnadu
1-2451593686,Tamil Nadu,Southern,ALAGAPPA POLYTECHNIC COLLEGE KARAIKUDI,ENGINEERING AND TECHNOLOGY,2nd Shift,FULL TIME,DIPLOMA,CIVIL ENGINEERING,60,NA,NA,Directorate of Technical Education Tamilnadu
1-2451593686,Tamil Nadu,Southern,ALAGAPPA POLYTECHNIC COLLEGE KARAIKUDI,ENGINEERING AND TECHNOLOGY,2nd Shift,FULL TIME,DIPLOMA,ELECTRICAL AND ELECTRONICS ENGINEERING,60,NA,NA,Directorate of Technical Education Tamilnadu
1-2451593686,Tamil Nadu,Southern,ALAGAPPA POLYTECHNIC COLLEGE KARAIKUDI,ENGINEERING AND TECHNOLOGY,2nd Shift,FULL TIME,DIPLOMA,ELECTRONICS AND COMMUNICATIONS ENGINEERING,60,NA,NA,Directorate of Technical Education Tamilnadu
1-2451593686,Tamil Nadu,Southern,ALAGAPPA POLYTECHNIC COLLEGE KARAIKUDI,ENGINEERING AND TECHNOLOGY,2nd Shift,FULL TIME,DIPLOMA,MECHANICAL ENGINEERING,60,NA,NA,Directorate of Technical Education Tamilnadu
1-2451593860,Tamil Nadu,Southern,GOVERNMENT POLYTECHNIC COLLEGE THIRUVARUR,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,CIVIL ENGINEERING,60,NA,NA,Directorate of Technical Education Tamilnadu
1-2451593860,Tamil Nadu,Southern,GOVERNMENT POLYTECHNIC COLLEGE THIRUVARUR,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,COMPUTER SCIENCE AND ENGINEERING,60,NA,NA,Directorate of Technical Education Tamilnadu
1-2451593860,Tamil Nadu,Southern,GOVERNMENT POLYTECHNIC COLLEGE THIRUVARUR,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,ELECTRICAL AND ELECTRONICS ENGINEERING,60,NA,NA,Directorate of Technical Education Tamilnadu
1-2451593860,Tamil Nadu,Southern,GOVERNMENT POLYTECHNIC COLLEGE THIRUVARUR,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,ELECTRONICS AND COMMUNICATIONS ENGINEERING,60,NA,NA,Directorate of Technical Education Tamilnadu
1-2451593860,Tamil Nadu,Southern,GOVERNMENT POLYTECHNIC COLLEGE THIRUVARUR,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,MECHANICAL ENGINEERING,60,NA,NA,Directorate of Technical Education Tamilnadu
1-2451594967,Tamil Nadu,Southern,TRP ENGINEERING COLLEGE,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,POST GRADUATE,THERMAL ENGINEERING,18,NA,NA,Anna University Chennai
1-2451594967,Tamil Nadu,Southern,TRP ENGINEERING COLLEGE,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,POST GRADUATE,VLSI,18,NA,NA,Anna University Chennai
1-2451594967,Tamil Nadu,Southern,TRP ENGINEERING COLLEGE,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,CIVIL ENGINEERING,60,NA,NA,Anna University Chennai
1-2451594967,Tamil Nadu,Southern,TRP ENGINEERING COLLEGE,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,60,NA,NA,Anna University Chennai
1-2451594967,Tamil Nadu,Southern,TRP ENGINEERING COLLEGE,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,120,NA,NA,Anna University Chennai
1-2451594967,Tamil Nadu,Southern,TRP ENGINEERING COLLEGE,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,ELECTRONICS AND COMMUNICATIONS ENGINEERING,120,NA,NA,Anna University Chennai
1-2451594967,Tamil Nadu,Southern,TRP ENGINEERING COLLEGE,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,MECHANICAL ENGINEERING,120,NA,NA,Anna University Chennai
1-2451595412,Tamil Nadu,Southern,PARK COLLEGE OF ENGINEERING AND TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,POST GRADUATE,AERONAUTICAL ENGINEERING,18,NA,NA,Anna University Chennai
1-2451595412,Tamil Nadu,Southern,PARK COLLEGE OF ENGINEERING AND TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,POST GRADUATE,COMPUTER SCIENCE AND ENGINEERING,18,NA,NA,Anna University Chennai
1-2451595412,Tamil Nadu,Southern,PARK COLLEGE OF ENGINEERING AND TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,POST GRADUATE,ENGINEERING DESIGN,18,NA,NA,Anna University Chennai
1-2451595412,Tamil Nadu,Southern,PARK COLLEGE OF ENGINEERING AND TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,AERONAUTICAL ENGINEERING,120,NA,NA,Anna University Chennai
1-2451595412,Tamil Nadu,Southern,PARK COLLEGE OF ENGINEERING AND TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,60,NA,NA,Anna University Chennai
1-2451595412,Tamil Nadu,Southern,PARK COLLEGE OF ENGINEERING AND TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,120,NA,NA,Anna University Chennai
1-2451595412,Tamil Nadu,Southern,PARK COLLEGE OF ENGINEERING AND TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,120,NA,NA,Anna University Chennai
1-2451595412,Tamil Nadu,Southern,PARK COLLEGE OF ENGINEERING AND TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,INFORMATION TECHNOLOGY,90,NA,NA,Anna University Chennai
1-2451595412,Tamil Nadu,Southern,PARK COLLEGE OF ENGINEERING AND TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,MARINE ENGINEERING,60,NA,NA,NA
1-2451595412,Tamil Nadu,Southern,PARK COLLEGE OF ENGINEERING AND TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,MECHANICAL ENGINEERING,120,NA,NA,Anna University Chennai
1-2451595412,Tamil Nadu,Southern,PARK COLLEGE OF ENGINEERING AND TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,MECHATRONICS,60,NA,NA,Anna University Chennai
1-2451595412,Tamil Nadu,Southern,PARK COLLEGE OF ENGINEERING AND TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,TEXTILE TECHNOLOGY,60,NA,NA,Anna University Chennai
1-2451596375,Tamil Nadu,Southern,MOOKAMBIGAI COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,POST GRADUATE,COMPUTER AIDED DESIGN AND MANUFACTURE,18,NA,NA,Anna University Chennai
1-2451596375,Tamil Nadu,Southern,MOOKAMBIGAI COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,POST GRADUATE,COMMUNICATION AND NETWORKING,18,NA,NA,Anna University Chennai
1-2451596375,Tamil Nadu,Southern,MOOKAMBIGAI COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,POST GRADUATE,COMMUNICATION SYSTEMS,18,NA,NA,Anna University Chennai
1-2451596375,Tamil Nadu,Southern,MOOKAMBIGAI COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,POST GRADUATE,COMPUTER SCIENCE AND ENGINEERING,18,NA,NA,Anna University Chennai
1-2451596375,Tamil Nadu,Southern,MOOKAMBIGAI COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,POST GRADUATE,MANUFACTURING ENGINEERING,18,NA,NA,Anna University Chennai
1-2451596375,Tamil Nadu,Southern,MOOKAMBIGAI COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,POST GRADUATE,POWER ELECTRONICS AND DRIVES,24,NA,NA,Anna University Chennai
1-2451596375,Tamil Nadu,Southern,MOOKAMBIGAI COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,POST GRADUATE,VLSI,24,NA,NA,Anna University Chennai
1-2451596375,Tamil Nadu,Southern,MOOKAMBIGAI COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,AUTOMOBILE ENGINEERING,120,NA,NA,Anna University Chennai
1-2451596375,Tamil Nadu,Southern,MOOKAMBIGAI COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,CIVIL ENGINEERING,180,NA,NA,Anna University Chennai
1-2451596375,Tamil Nadu,Southern,MOOKAMBIGAI COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,120,NA,NA,Anna University Chennai
1-2451596375,Tamil Nadu,Southern,MOOKAMBIGAI COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,120,NA,NA,Anna University Chennai
1-2451596375,Tamil Nadu,Southern,MOOKAMBIGAI COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,180,NA,NA,Anna University Chennai
1-2451596375,Tamil Nadu,Southern,MOOKAMBIGAI COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,ELECTRONICS AND INSTRUMENTATION ENGINEERING,30,NA,NA,Anna University Chennai
1-2451596375,Tamil Nadu,Southern,MOOKAMBIGAI COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,INFORMATION TECHNOLOGY,60,NA,NA,Anna University Chennai
1-2451596375,Tamil Nadu,Southern,MOOKAMBIGAI COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,MECHANICAL ENGINEERING,240,NA,NA,Anna University Chennai
1-2451597936,Tamil Nadu,Southern,PSN INSTITUTE OF TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,AUTOMOBILE ENGINEERING,60,NA,NA,Directorate of Technical Education Tamilnadu
1-2451597936,Tamil Nadu,Southern,PSN INSTITUTE OF TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,CIVIL ENGINEERING,60,NA,NA,Directorate of Technical Education Tamilnadu
1-2451597936,Tamil Nadu,Southern,PSN INSTITUTE OF TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,COMPUTER ENGINEERING,60,NA,NA,Directorate of Technical Education Tamilnadu
1-2451597936,Tamil Nadu,Southern,PSN INSTITUTE OF TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,ELECTRICAL AND ELECTRONICS ENGINEERING,60,NA,NA,Directorate of Technical Education Tamilnadu
1-2451597936,Tamil Nadu,Southern,PSN INSTITUTE OF TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,ELECTRONICS & COMMUNICATION ENGG,60,NA,NA,Directorate of Technical Education Tamilnadu
1-2451597936,Tamil Nadu,Southern,PSN INSTITUTE OF TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,MECHANICAL ENGINEERING,120,NA,NA,Directorate of Technical Education Tamilnadu
1-2451597936,Tamil Nadu,Southern,PSN INSTITUTE OF TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,MECHANICAL ENGINEERING (SANDWICH),60,NA,NA,Directorate of Technical Education Tamilnadu
1-2451597936,Tamil Nadu,Southern,PSN INSTITUTE OF TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,MECHANICAL ENGINEERING (TOOL & DIE),60,NA,NA,Directorate of Technical Education Tamilnadu
1-2451598460,Tamil Nadu,Southern,CHANDY COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,POST GRADUATE,APPLIED ELECTRONICS,18,NA,NA,Anna University Chennai
1-2451598460,Tamil Nadu,Southern,CHANDY COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,POST GRADUATE,COMPUTER SCIENCE AND ENGINEERING,24,NA,NA,Anna University Chennai
1-2451598460,Tamil Nadu,Southern,CHANDY COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,POST GRADUATE,POWER SYSTEMS ENGINEERING,24,NA,NA,Anna University Chennai
1-2451598460,Tamil Nadu,Southern,CHANDY COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,CIVIL ENGINEERING,60,NA,NA,Anna University Chennai
1-2451598460,Tamil Nadu,Southern,CHANDY COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,60,NA,NA,Anna University Chennai
1-2451598460,Tamil Nadu,Southern,CHANDY COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,60,NA,NA,Anna University Chennai
1-2451598460,Tamil Nadu,Southern,CHANDY COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,60,NA,NA,Anna University Chennai
1-2451598460,Tamil Nadu,Southern,CHANDY COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,MECHANICAL ENGINEERING,120,NA,NA,Anna University Chennai
1-2451599774,Tamil Nadu,Southern,NACHIAPPA SWAMIGAL POLYTECHNIC COLLEGE,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,CIVIL ENGINEERING,60,NA,NA,Directorate of Technical Education Tamilnadu
1-2451599774,Tamil Nadu,Southern,NACHIAPPA SWAMIGAL POLYTECHNIC COLLEGE,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,ELECTRICAL AND ELECTRONICS ENGINEERING,60,NA,NA,Directorate of Technical Education Tamilnadu
1-2451599774,Tamil Nadu,Southern,NACHIAPPA SWAMIGAL POLYTECHNIC COLLEGE,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,ELECTRONICS & COMMUNICATION ENGG,60,NA,NA,Directorate of Technical Education Tamilnadu
1-2451599774,Tamil Nadu,Southern,NACHIAPPA SWAMIGAL POLYTECHNIC COLLEGE,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,MECHANICAL ENGINEERING,120,NA,NA,Directorate of Technical Education Tamilnadu
1-2451600017,Tamil Nadu,Southern,KOTTAI MARIYAMMAN POLYTECHNIC COLLEGE,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,AUTOMOBILE ENGINEERING,60,NA,NA,Directorate of Technical Education Tamilnadu
1-2451600017,Tamil Nadu,Southern,KOTTAI MARIYAMMAN POLYTECHNIC COLLEGE,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,CIVIL ENGINEERING,60,NA,NA,Directorate of Technical Education Tamilnadu
1-2451600017,Tamil Nadu,Southern,KOTTAI MARIYAMMAN POLYTECHNIC COLLEGE,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,COMPUTER ENGINEERING,60,NA,NA,Directorate of Technical Education Tamilnadu
1-2451600017,Tamil Nadu,Southern,KOTTAI MARIYAMMAN POLYTECHNIC COLLEGE,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,ELECTRICAL AND ELECTRONICS ENGINEERING,60,NA,NA,Directorate of Technical Education Tamilnadu
1-2451600017,Tamil Nadu,Southern,KOTTAI MARIYAMMAN POLYTECHNIC COLLEGE,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,ELECTRONICS AND COMMUNICATIONS ENGINEERING,60,NA,NA,Directorate of Technical Education Tamilnadu
