"","code","name","type","ug.etc.total","pg.etc.total","total.students","full.time.total","part.time.total","total.staff","total.by.total","ug.by.fulltime"
"634",708,"C.U.SHAH UNIVERSITY, SURENDRANAGAR","State Private University ",114,0,114,3,2,5,22.8,38
"635",710,"NALANDA UNIVERSITY","Central University ",50,0,50,6,1,7,7.14285714285714,8.33333333333333
"636",710,"NALANDA UNIVERSITY","Central University ",708,0,708,4,0,4,177,177
"637",711,"KALINGA UNIVERSITY, RAIPUR","State Private University ",590,0,590,7,8,15,39.3333333333333,84.2857142857143
"638",711,"KALINGA UNIVERSITY, RAIPUR","State Private University ",1644,199,1843,28,10,38,48.5,58.7142857142857
"639",712,"APEX PROFESSIONAL UNIVERSITY","State Private University ",231,0,231,1,10,11,21,231
"640",713,"ACADEMY OF SCIENTIFIC & INNOVATIVE RESEARCH","Institute of National Importance ",2886,547,3433,27,2,29,118.379310344828,106.888888888889
"641",713,"ACADEMY OF SCIENTIFIC & INNOVATIVE RESEARCH","Institute of National Importance ",605,0,605,8,7,15,40.3333333333333,75.625
"642",714,"ITM VOCATIONAL UNIVERSITY, VADODARA","State Private University ",916,0,916,63,0,63,14.5396825396825,14.5396825396825
"643",715,"XAVIER UNIVERSITY, BHUBANESWAR","State Private University ",50,0,50,1,6,7,7.14285714285714,50
"644",715,"XAVIER UNIVERSITY, BHUBANESWAR","State Private University ",959,0,959,5,22,27,35.5185185185185,191.8
"645",716,"THUNCHATH EZHUTHACHAN MALAYALAM UNIVERSITY, TIRUR","State Public University ",1719,121,1840,20,1,21,87.6190476190476,85.95
"646",717,"SRI DEV SUMAN UTTARAKHAND UNIVERSITY, BADSHAHITHOL, TEHRI","State Public University ",138,0,138,20,0,20,6.9,6.9
"647",718,"KAZI NAZRUL UNIVERSITY, ASANSOL","State Public University ",347,0,347,8,4,12,28.9166666666667,43.375
"648",721,"JAGAN NATH UNIVERSITY, JHAJJAR","State Private University ",50,0,50,12,0,12,4.16666666666667,4.16666666666667
"649",722,"SRM UNIVERSITY, SONEPAT","State Private University ",491,0,491,19,0,19,25.8421052631579,25.8421052631579
"650",723,"CMR UNIVERSITY, BANGALORE","State Private University ",340,0,340,9,13,22,15.4545454545455,37.7777777777778
"651",724,"M.S. RAMAIAH UNIVERSITY OF APPLIED SCIENCES, BANGALORE","State Private University ",48,0,48,3,0,3,16,16
"652",725,"REVA UNIVERSITY, BANGALORE","State Private University ",96,0,96,1,3,4,24,96
"653",727,"JAGRAN LAKECITY UNIVERSITY, BHOPAL","State Private University ",170,0,170,11,0,11,15.4545454545455,15.4545454545455
"654",728,"SRI SATYA SAI UNIVERSITY OF TECHNOLOGY & MEDICAL SCIENCES, SEHORE","State Private University ",1319,0,1319,12,4,16,82.4375,109.916666666667
"655",731,"SHOBHIT UNIVERSITY, GANGOH","State Private University ",1025,0,1025,24,7,31,33.0645161290323,42.7083333333333
"656",733,"PES UNIVERSITY, BANGLORE","State Private University ",50,0,50,5,0,5,10,10
"657",734,"LAKULISH YOGA UNIVERSITY, AHMEDABAD","State Private University ",1930,21,1951,22,0,22,88.6818181818182,87.7272727272727
"658",740,"ARUNACHAL UNIVERSITY OF STUDIES","State Private University ",50,0,50,10,0,10,5,5
"659",741,"JECRC UNIVERSITY","State Private University ",326,0,326,4,0,4,81.5,81.5
"660",745,"THE INSTITUTE OF TRANS-DISCIPLINARY HEALTH SCIENCES AND TECHNOLOGY","State Private University ",213,0,213,16,0,16,13.3125,13.3125
"661",746,"GEETANJALI UNIVERSITY","State Private University ",669,0,669,9,1,10,66.9,74.3333333333333
"662",747,"CHANDIGARH UNIVERSITY","State Private University ",1508,0,1508,47,0,47,32.0851063829787,32.0851063829787
"663",749,"MANIPAL UNIVERSITY, JAIPUR","State Private University ",934,0,934,19,1,20,46.7,49.1578947368421
"664",750,"UTTARANCHAL UNIVERSITY, DEHRADUN","State Private University ",3306,0,3306,17,3,20,165.3,194.470588235294
"665",751,"STATE UNIVERSITY OF PERFORMING AND VISUAL ARTS","State Public University ",1811,0,1811,21,0,21,86.2380952380952,86.2380952380952
"666",752,"POORNIMA UNIVERSITY","State Private University ",358,0,358,11,0,11,32.5454545454545,32.5454545454545
"667",753,"SHRI RAMSWAROOP MEMORIAL UNIVERSITY","State Private University ",64,0,64,8,0,8,8,8
"668",754,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, SRIRANGAM","Others",408,0,408,24,0,24,17,17
"669",755,"SARVEPALLI RADHAKRISHNAN UNIVERSITY","State Private University ",762,47,809,18,0,18,44.9444444444444,42.3333333333333
"670",757,"AMITY UNIVERSITY, RAIPUR","State Private University ",960,0,960,20,1,21,45.7142857142857,48
